City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,hawera,-39.5917,174.2833,17.45,76,100,8.99,NZ,1729895827
120,longyearbyen,78.2186,15.6401,1.91,87,75,8.23,SJ,1729895828
121,raja,8.4596,25.678,22.11,91,100,0.86,SS,1729895829
122,fada n'gourma,12.0622,0.3578,27.97,48,100,3.06,BF,1729895830
123,andreapol',56.6513,32.2664,7.56,93,100,1.72,RU,1729895831
124,crane,31.3974,-102.3501,25.74,28,6,4.22,US,1729895832
125,kudymkar,59.0173,54.656,0.85,92,100,3.13,RU,1729895833
126,balabac,7.9868,117.0645,27.35,78,100,7.72,PH,1729895835
127,mount isa,-20.7333,139.5,25.87,10,3,4.12,AU,1729895837
128,kotlas,61.2611,46.6556,4.36,83,100,2.34,RU,1729895838
129,broken hill,-31.95,141.4333,19.31,32,96,6.13,AU,1729895839
130,port elizabeth,-33.918,25.5701,16.16,92,75,4.63,ZA,1729895840
131,gwadar,25.1216,62.3254,26.62,68,34,4.93,PK,1729895841
132,new norfolk,-42.7826,147.0587,12.73,41,23,1.44,AU,1729895842
133,kayangel,8.0823,134.7173,27.77,80,92,15.13,PW,1729895844
134,buckeye,33.3703,-112.5838,36.53,8,0,0.92,US,1729895845
135,mugia,43.1041,-9.2179,10.51,69,100,4.86,ES,1729895846
136,papatowai,-46.5619,169.4708,6.61,86,100,6.19,NZ,1729895847
137,mount barker,-35.0667,138.8667,18.51,44,100,4.9,AU,1729895848
138,polyarnyy,69.1989,33.4478,6.01,64,94,8.4,RU,1729895595
139,luanda,-8.8368,13.2343,26.0,73,75,2.06,AO,1729895852
140,belomorsk,64.5232,34.7668,7.46,86,100,4.64,RU,1729895716
141,manor,19.75,72.9167,23.32,62,76,1.51,IN,1729895854
142,guerrero negro,27.9769,-114.0611,22.91,51,6,6.08,MX,1729895855
143,island harbour,50.724,-1.2758,11.66,3,100,2.51,GB,1729895856
144,grand falls-windsor,48.9332,-55.6649,4.72,93,100,4.47,CA,1729895857
145,almazan,41.4865,-2.5309,7.71,74,100,2.46,ES,1729895859
146,vorgashor,67.5833,63.95,-10.05,97,33,1.58,RU,1729895860
147,vorkuta,67.5,64.0,-9.63,98,39,1.54,RU,1729895861
148,ancud,-41.8697,-73.8203,9.64,72,62,4.99,CL,1729895862
149,puerto aysen,-45.4,-72.7,6.88,99,100,3.15,CL,1729895626
150,pyt-yakh,60.7499,72.8582,4.09,96,100,1.94,RU,1729895864
151,pauini,-7.7136,-66.9764,29.19,59,86,0.93,BR,1729895865
152,fada,7.25,4.0667,23.37,94,75,3.09,NG,1729895867
153,bobo-dioulasso,11.1771,-4.2979,25.25,83,0,1.54,BF,1729895868
154,nizhniy odes,63.6445,54.856,-0.28,84,100,2.01,RU,1729895869
155,san patricio,28.017,-97.5169,30.97,51,0,4.71,US,1729895870
156,zhezqazghan,47.7833,67.7667,8.53,66,100,2.7,KZ,1729895871
157,as sulayyil,20.4607,45.5779,24.33,60,86,8.37,SA,1729895872
158,bredasdorp,-34.5322,20.0403,12.43,92,0,2.08,ZA,1729895873
159,namibe,-15.1961,12.1522,19.67,83,77,2.1,AO,1729895874
160,klyuchi,52.2667,79.1667,6.63,71,100,2.57,RU,1729895876
161,port saint john's,-31.6229,29.5448,17.04,71,71,3.93,ZA,1729895877
162,saipan,15.1355,145.701,25.39,94,100,5.66,MP,1729895878
163,paita,-5.0892,-81.1144,18.96,81,15,7.82,PE,1729895879
164,salaqi,40.5414,110.5108,9.31,80,100,1.7,CN,1729895880
165,sao geraldo do araguaia,-6.4006,-48.555,30.07,37,63,1.01,BR,1729895834
166,xinxiang,35.3089,113.8672,13.2,64,22,1.5,CN,1729895882
167,tazovsky,67.4667,78.7,-13.03,96,50,3.16,RU,1729895883
168,howrah,22.5892,88.3103,26.0,94,75,2.06,IN,1729895885
169,punta arenas,-53.15,-70.9167,7.06,76,40,13.89,CL,1729895627
170,boradigah,38.9339,48.7038,10.02,62,32,2.3,AZ,1729895887
171,anna regina,7.2644,-58.5077,27.54,77,8,4.32,GY,1729895890
172,mana,5.6592,-53.7767,27.22,84,99,4.17,GF,1729895891
173,thompson,55.7435,-97.8558,3.09,52,75,4.63,CA,1729895892
174,port douglas,-16.4833,145.4667,25.83,73,82,3.89,AU,1729895893
175,el porvenir,13.7617,-87.3458,27.33,78,43,1.56,HN,1729895894
176,kruisfontein,-34.0033,24.7314,12.37,70,14,2.95,ZA,1729895895
177,invercargill,-46.4,168.35,7.79,82,100,4.47,NZ,1729895896
178,brisas de zicatela,15.8369,-97.0419,28.28,75,2,1.21,MX,1729895897
179,bardai,11.65,7.2333,23.18,32,99,2.36,NG,1729895899
180,jobabo,20.9692,-76.2994,28.01,76,84,5.66,CU,1729895900
181,muromtsevo,56.3724,75.2418,5.4,92,100,3.05,RU,1729895901
182,kaitong,44.8135,123.15,5.14,44,100,3.87,CN,1729895902
183,santana,-0.0583,-51.1817,31.1,66,20,5.66,BR,1729895668
184,keflavik,64.0049,-22.5624,4.24,81,75,13.38,IS,1729895904
185,inhambane,-23.865,35.3833,23.28,92,0,1.83,MZ,1729895905
186,okhotsk,59.3833,143.3,-4.97,91,100,6.05,RU,1729895908
187,puerto baquerizo moreno,-0.9,-89.6,21.55,83,100,5.14,EC,1729895909
188,myrhorod,49.9685,33.6089,10.13,81,100,2.42,UA,1729895910
189,ust'-kulom,61.6864,53.6902,-0.57,89,92,2.36,RU,1729895716
190,la passe,45.5549,-0.8967,13.16,89,100,3.07,FR,1729895912
191,kone,-21.0595,164.8658,29.83,43,100,2.92,NC,1729895915
192,dubois,38.3464,-86.8897,23.01,63,100,1.54,US,1729895834
193,port macquarie,-31.4333,152.9167,18.93,56,46,0.89,AU,1729895917
194,zadar,44.1197,15.2422,14.34,100,0,1.03,HR,1729895918
195,nuuk,64.1835,-51.7216,-0.66,80,100,7.72,GL,1729895920
196,saudarkrokur,65.7461,-19.6394,0.78,80,38,7.94,IS,1729895921
197,yarrawonga,-36.0167,146.0,15.17,31,0,3.97,AU,1729895922
198,tadine,-21.55,167.8833,26.87,65,95,1.87,NC,1729895923
199,zaozersk,69.4005,32.4476,4.68,67,100,9.92,RU,1729895924
200,mount pearl,47.5166,-52.7813,17.07,97,100,8.75,CA,1729895925
201,northam,51.0333,-4.2167,9.23,94,0,4.07,GB,1729895716
202,tralee,52.2704,-9.7026,11.06,84,73,3.86,IE,1729895927
203,karratha,-20.7377,116.8463,30.24,25,1,3.79,AU,1729895895
204,beypazari,40.1675,31.9211,7.65,57,1,1.67,TR,1729895930
205,itaperuna,-21.205,-41.8878,27.2,71,81,1.41,BR,1729895931
206,ko pha ngan,9.7578,100.0291,24.38,76,99,7.35,TH,1729895932
207,boda,4.3189,17.4695,21.49,97,100,0.94,CF,1729895933
208,boca suno,-0.7167,-77.1333,27.68,68,74,1.13,EC,1729895935
209,ambodifotatra,-16.9833,49.85,22.98,87,40,1.82,MG,1729895937
210,lala,7.9745,123.7458,24.16,97,98,0.67,PH,1729895938
211,porto belo,-27.1578,-48.5531,23.31,81,0,5.77,BR,1729895939
212,shingu,33.7333,135.9833,21.52,88,100,3.53,JP,1729895940
213,souillac,-20.5167,57.5167,23.21,94,75,4.12,MU,1729895941
214,taradale,-39.5333,176.85,20.57,60,65,2.24,NZ,1729895942
215,bulnes,-36.7423,-72.2985,17.42,47,0,7.5,CL,1729895943
216,vanimo,-2.6741,141.3028,27.42,81,100,2.17,PG,1729895944
217,saacow,1.6279,42.4407,24.77,76,64,3.79,SO,1729895946
218,corumba,-19.0092,-57.6533,35.84,49,20,0.0,BR,1729895947
219,atafu village,-8.5421,-172.5159,28.46,78,22,7.78,TK,1729895948
220,umluj,25.0213,37.2685,25.95,60,0,3.11,SA,1729895949
221,buka,40.8108,69.1986,11.25,71,100,3.98,UZ,1729895950
222,nizhnyaya poyma,56.1622,97.1933,6.61,81,91,5.76,RU,1729895951
223,kasaragod,12.5,75.0,23.71,91,98,1.72,IN,1729895952
224,evans,33.5337,-82.1307,26.69,47,4,0.45,US,1729895861
225,nantucket,41.2835,-70.0995,11.19,71,0,5.16,US,1729895955
226,bahia de kino,28.8333,-111.9333,30.48,33,5,3.66,MX,1729895956
227,beloyarskiy,63.7119,66.6722,0.38,98,100,2.18,RU,1729895957
228,urengoy,65.9667,78.3667,-5.4,96,100,3.21,RU,1729895958
229,kirkwood,38.5834,-90.4068,18.77,82,100,3.6,US,1729895959
230,fortuna,40.5982,-124.1573,22.21,32,0,4.13,US,1729895960
231,pajapan,18.25,-94.7,25.09,82,8,3.97,MX,1729895962
232,sumbawa besar,-8.5,117.4333,26.62,69,48,2.28,ID,1729895963
233,kaminoyama,38.1539,140.2736,12.91,79,100,0.83,JP,1729895964
234,pandan,14.0453,124.1694,26.97,83,100,1.17,PH,1729895966
235,fort saskatchewan,53.7168,-113.2187,10.02,29,8,0.51,CA,1729895967
236,stanley,54.868,-1.6985,11.82,100,100,0.0,GB,1729895675
237,sitka,57.0531,-135.33,8.94,49,100,3.6,US,1729895970
238,holyhead,53.3062,-4.6321,10.0,87,10,1.54,GB,1729895971
239,saldanha,-33.0117,17.9442,14.03,90,0,5.1,ZA,1729895972
240,robertsport,6.7533,-11.3686,25.92,88,71,4.05,LR,1729895973
241,wynyard,-41.0,145.7167,14.12,74,19,4.92,AU,1729895974
242,kristiansund,63.1115,7.732,7.36,87,75,1.54,NO,1729895975
243,touros,-5.1989,-35.4608,24.57,76,100,5.29,BR,1729895976
244,tazacorte,28.629,-17.9293,20.54,90,0,4.12,ES,1729895978
245,hechuan,29.9947,106.2572,20.86,77,100,0.51,CN,1729895979
246,pulandian,39.3953,121.9669,11.55,82,61,0.97,CN,1729895980
247,mahibadhoo,3.7833,72.9667,28.35,70,100,6.1,MV,1729895981
248,hirara,24.8,125.2833,26.15,89,20,3.6,JP,1729895954
249,tolanaro,-25.0319,46.9987,23.04,88,75,1.03,MG,1729895983
250,tsumeb,-19.2333,17.7167,27.37,8,0,2.92,NA,1729895984
251,queenstown,-31.8976,26.8753,10.45,83,14,1.5,ZA,1729895985
252,podujeva,42.9106,21.1931,10.22,69,18,0.26,XK,1729895988
253,cantley,53.5,-1.05,14.43,96,100,3.15,GB,1729895989
254,tirumullaivasal,11.2333,79.8333,24.57,91,67,3.52,IN,1729895991
255,lewistown,40.5992,-77.5714,16.67,70,75,0.0,US,1729895992
256,haenam,34.5711,126.5989,15.75,79,95,1.05,KR,1729895896
257,warmbad,-28.45,18.7333,20.16,9,55,1.6,NA,1729895995
258,coaticook,45.1334,-71.7991,7.37,66,66,0.42,CA,1729895996
259,freeport,40.6576,-73.5832,14.43,73,0,6.69,US,1729895954
260,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,52,0,5.0,RU,1729895998
261,saint-pierre,-21.3393,55.4781,22.82,73,100,0.51,RE,1729896001
262,aykhal,66.0,111.5,-12.67,95,100,2.55,RU,1729896002
263,wakkanai,45.4094,141.6739,10.06,51,12,10.11,JP,1729896003
264,bahadurgarh,28.6833,76.9167,21.06,25,0,1.61,IN,1729896004
265,sangin,32.0728,64.8359,21.17,31,6,1.14,AF,1729896005
266,durban,-29.8579,31.0292,17.51,82,100,4.71,ZA,1729896006
267,de aar,-30.6497,24.0123,13.81,56,0,6.37,ZA,1729896007
268,ginir,7.1333,40.7,15.6,84,63,1.61,ET,1729896009
269,korla,41.7597,86.1469,9.18,48,0,0.29,CN,1729895785
270,el calafate,-50.3408,-72.2768,6.69,83,91,7.23,AR,1729895820
271,collingwood,44.4834,-80.2164,10.05,95,96,6.09,CA,1729896012
272,angaur state,6.906,134.13,28.49,75,85,13.66,PW,1729896013
273,carutapera,-1.195,-46.02,26.25,83,51,3.96,BR,1729896014
274,selfoss,63.9331,-20.9971,2.8,68,97,10.46,IS,1729896017
275,yuzhno-kurilsk,44.0306,145.8556,13.46,73,5,1.48,RU,1729896018
276,topolobampo,25.6,-109.05,31.95,43,0,5.66,MX,1729896019
277,itamarandiba,-17.8572,-42.8589,21.87,75,100,1.3,BR,1729896021
278,anar darah,32.7587,61.654,13.72,46,20,4.54,AF,1729896022
279,gillette,44.2911,-105.5022,14.51,38,0,3.6,US,1729896023
280,homer,59.6425,-151.5483,4.47,67,20,6.26,US,1729896024
281,centenario do sul,-22.8211,-51.5953,26.39,71,23,1.57,BR,1729896025
282,dudinka,69.4058,86.1778,-21.68,97,13,2.58,RU,1729896026
283,palamos,41.8484,3.1291,18.58,66,100,2.85,ES,1729896028
284,port alfred,-33.5906,26.891,15.1,96,45,0.89,ZA,1729896029
285,six-fours-les-plages,43.0938,5.84,17.73,86,100,2.24,FR,1729896030
286,minas de marcona,-15.2119,-75.1103,14.1,80,11,7.2,PE,1729896031
287,aitape,-3.1374,142.3475,27.42,80,100,1.62,PG,1729896033
288,bela,25.9333,81.9833,22.47,85,15,1.28,IN,1729896034
289,kuruman,-27.4524,23.4325,18.35,10,0,4.9,ZA,1729896036
290,afaahiti,-17.75,-149.2833,22.91,80,100,11.02,PF,1729896037
291,castillos,-34.1667,-53.8333,11.92,95,100,5.65,UY,1729896038
292,vadso,70.0744,29.7487,7.09,65,44,11.83,NO,1729896039
293,hamilton,39.1834,-84.5333,18.47,85,20,2.68,US,1729895837
294,burela de cabo,43.65,-7.4,8.69,88,93,3.28,ES,1729896041
295,bamboo flat,11.7,92.7167,25.05,94,40,1.03,IN,1729896042
296,chonchi,-42.6128,-73.8092,11.18,74,89,1.59,CL,1729896043
297,nkongsamba,4.9547,9.9404,19.22,99,100,0.63,CM,1729896045
298,nieuw amsterdam,5.8833,-55.0833,28.01,78,20,2.57,SR,1729896046
299,maputo,-25.9653,32.5892,22.82,87,40,4.63,MZ,1729896047
300,virginia beach,36.8529,-75.978,19.01,67,0,2.57,US,1729895818
301,isafjordur,66.0755,-23.124,0.64,95,60,5.92,IS,1729896049
302,corinto,37.9407,22.9573,14.94,70,44,1.29,GR,1729896050
303,pahrump,36.2083,-115.9839,30.25,13,5,2.24,US,1729895959
304,richards bay,-28.783,32.0377,19.41,85,100,5.32,ZA,1729896053
305,banda aceh,5.5577,95.3222,26.37,83,77,4.32,ID,1729895997
306,colac,-38.3333,143.5833,12.72,51,18,3.45,AU,1729896055
307,acarau,-2.8856,-40.12,25.34,78,100,8.15,BR,1729896056
308,conception bay south,47.4999,-52.9981,18.02,98,100,8.92,CA,1729896057
309,keetmanshoop,-26.5833,18.1333,23.51,8,53,1.03,NA,1729896059
310,nar'yan-mar,67.6713,53.087,-0.78,81,48,4.0,RU,1729896061
311,pingnan,23.5543,110.3976,17.54,61,95,1.91,CN,1729896062
312,sompeta,18.9333,84.6,25.96,77,100,1.65,IN,1729896063
313,walvis bay,-22.9575,14.5053,14.53,88,12,5.14,NA,1729896064
314,nadym,65.5333,72.5167,-5.08,95,90,3.61,RU,1729896065
315,holualoa,19.6228,-155.9522,28.08,77,20,5.66,US,1729896066
316,teluk nibung,3.001,99.8164,24.34,95,100,1.51,ID,1729896068
317,poso,-1.3959,120.7524,26.43,74,81,2.03,ID,1729896069
318,salalah,17.0151,54.0924,27.05,83,75,1.03,OM,1729896070
319,aljezur,37.3191,-8.8033,15.22,60,31,5.83,PT,1729896071
320,nemuro,43.3236,145.575,12.74,79,6,3.83,JP,1729896072
321,usogorsk,63.4106,48.6872,2.12,78,100,1.22,RU,1729896073
322,tofol,5.3248,163.0078,28.92,64,64,2.06,FM,1729896074
323,inari,68.906,27.0288,3.7,74,88,4.76,FI,1729896075
324,blenheim,-41.516,173.9528,14.73,95,100,3.13,NZ,1729896077
325,nuku'alofa,-21.1333,-175.2,27.19,83,40,4.63,TO,1729896078
326,sandnessjoen,66.0217,12.6316,7.55,70,100,5.4,NO,1729896079
327,lahij,13.1667,44.5833,25.17,82,67,2.5,YE,1729896080
328,nea kallikrateia,40.3167,23.0667,15.65,58,40,1.4,GR,1729896081
329,ende,-8.8432,121.6623,26.14,80,69,1.06,ID,1729896082
330,carnarvon,-24.8667,113.6333,19.12,63,5,10.75,AU,1729895846
331,bahia blanca,-38.7196,-62.2724,11.73,42,30,3.11,AR,1729895903
332,acapulco de juarez,16.8634,-99.8901,30.9,74,40,4.12,MX,1729896086
333,daru,-9.0763,143.2092,26.72,80,100,2.51,PG,1729896087
334,miguel ahumada,30.6167,-106.5167,30.41,15,8,6.48,MX,1729896088
335,colonia menno,-22.3667,-59.8167,34.26,31,52,2.36,PY,1729896089
336,rongelap,11.1635,166.8941,28.61,79,94,8.65,MH,1729896090
337,the pas,53.8251,-101.2541,7.01,49,0,5.14,CA,1729896092
338,shiqian,27.5225,108.2281,12.2,75,5,0.9,CN,1729896093
